report_date,service,program,base_year,baseline_type,prime_contractor,secondary_contractor,platform_portfolio,cohort,merger_exposure,treatment_rule,baseline_pauc_total,baseline_pauc_qty,baseline_pauc_est,current_pauc_total,current_pauc_qty,current_pauc_est,baseline_apuc_total,baseline_apuc_qty,baseline_apuc_est,current_apuc_total,current_apuc_qty,current_apuc_est
2019-12-31,Navy,H-1 Upgrades (4BW/4BN),2008,PdE,Bell Helicopters,,Aircraft,0,,,7852.2,284,27.649,11482.3,353,32.528,6352.9,280,22.689,9762.3,349,27.972
2019-12-31,Navy,IDECM - Block 4,2008,PdE,Harris Corporation,BAE Systems,"Electronics, Comms, and Sensors",2020,L3-Harris,prime-Harris,660.7,160,4.129,1094.5,324,3.378,451.2,160,2.82,727.1,324,2.244
2019-12-31,Navy,IRST,2008,PdE,Boeing,Lockheed Martin,"Electronics, Comms, and Sensors",0,,,1914.6,179,10.696,1934.2,173,11.18,1150.6,170,6.768,1134,170,6.671
2019-12-31,Navy,JPALS,2008,DE,Raytheon,,"Electronics, Comms, and Sensors",2021,Raytheon-UTC,prime-Raytheon,963.2,37,26.032,1538.2,33,46.611,202.9,25,8.116,297.2,23,12.923
2019-12-31,Navy,KC-130J,2010,PdE,Lockheed Martin,Rolls Royce,Aircraft,0,,,9233.9,104,88.788,9613.3,111,86.606,9198.3,104,88.445,9575.2,111,86.263
2019-12-31,Navy,LCS,2010,DE,General Dynamics,Lockheed Martin,Ships and Submarines,0,,,32008.2,55,581.967,19277.5,35,550.786,28369.2,53,535.268,15982.8,33,484.327
2019-12-31,Navy,LCS Mission Modules,2010,DE,Northrop Grumman,,"Electronics, Comms, and Sensors",0,,,6379.5,64,99.68,5685.3,49,116.027,4116.7,59,69.775,3265.8,44,74.223
2019-12-31,Navy,LHA 6,2006,DE,Huntington Ingalls,,Ships and Submarines,0,,,2877.4,1,2877.4,10824.8,4,2706.2,2677.5,1,2677.5,10399.7,4,2599.925
2019-12-31,Navy,LPD 17,1996,DE,Huntington Ingalls,,Ships and Submarines,0,,,12955.2,12,1079.6,28914.4,26,1112.092,12842.4,12,1070.2,28654,26,1102.077
2019-12-31,Navy,MQ-25,2018,DE,Boeing,,Aircraft,0,,,12618.3,76,166.03,11169.2,76,146.963,8766.1,72,121.751,8350.7,69,121.025
2019-12-31,Navy,MQ-4C UAS BAMS,2008,PdE,Northrop Grumman,,Aircraft,0,,,12224.5,70,174.636,14305.7,70,204.367,8871.2,65,136.48,8667.4,65,133.345
2019-12-31,Navy,MQ-8 Fire Scout,2017,PdE,Northrop Grumman,,Aircraft,0,,,2949.1,60,49.152,3141.5,68,46.199,1533.6,51,30.071,1740.6,59,29.502
2019-12-31,Navy ,NGJ Mid-Band,2016,DE,Raytheon,Boeing,"Electronics, Comms, and Sensors",2021,Raytheon-UTC,prime-Raytheon,7463.7,135,55.287,7579.3,135,56.143,4002.6,131,30.554,3839.4,128,29.995
2019-12-31,Navy,OASuW Inc 1 LRASM,2014,DE,Lockheed Martin,,Ordnance and Missiles,0,,,1467.3,124,11.833,2869.7,504,5.694,292.3,110,2.657,1475,488,3.023
2019-12-31,Navy,P-8A,2010,PdE,Boeing,CFM International,Aircraft,0,,,30271.9,115,263.234,32211.7,125,257.694,22791.2,108,211.03,22460.8,120,187.173
2019-12-31,Navy,SSC,2011,DE,Textron Systems,L-3 Communications,Ships and Submarines,2020,L3-Harris,sub-L3,3925.6,73,53.775,4225.5,73,57.884,3354.4,71,47.245,3673.3,72,51.018
2019-12-31,Navy,SM-6,2004,PdE,Raytheon,,Air and Missile Defense,2021,Raytheon-UTC,prime-Raytheon,4866.3,1200,4.055,8007.6,2311,3.465,3949.6,1200,3.291,7172.9,2311,3.104
2019-12-31,Navy,SSBN 826,2017,DE,General Dynamics,Newport News,Ships and Submarines,0,,,100221.9,12,8351.825,99483.7,12,8920.308,87426.5,12,7285.542,86684,12,7223.667
2019-12-31,Navy,SSN 774,1995,PdE,General Dynamics,,Ships and Submarines,0,,,45633.1,30,1521.103,94357.3,48,1965.777,42228.1,30,1407.603,87252.6,48,1817.762
2019-12-31,Navy,T-AO 205 Class,2016,DE,General Dynamics,,Ships and Submarines,0,,,8543.5,17,502.559,10889.8,20,544.49,8475.9,17,498.582,10822.4,20,541.12
2019-12-31,Navy,Trident II Missile,1983,PdE,Lockheed Martin,Alliant TechSystems (ATK),Ordnance and Missiles,2019,Northrop-Orbital ATK,sub-ATK,25943.7,568,45.676,27984.7,561,49.884,17155.2,540,31.769,18535.6,533,34.776
2019-12-31,Navy,V-22,2005,PdE,Boeing,Bell Helicopters,Aircraft,0,,,50250.4,458,109.717,51361.6,464,110.693,38562.8,456,84.568,38105,462,82.478
2019-12-31,Navy ,VH-92A,2014,DE,Sikorsky,,Aircraft,2016,Lockheed-Sikorsky,prime-Sikorsky,4649.7,23,202.161,4427.7,23,192.509,2043.6,17,120.212,1946.7,17,114.512
2019-12-31,Air Force,AEHF SV 5-6,2002,PdE,Lockheed Martin,,Space Systems,0,,,2715.1,2,1357.55,2040.1,2,1020.05,2656,2,1328,1989.8,2,994.9
2019-12-31,Air Force,APT,2018,DE,Boeing,,Aircraft,0,,,8075.4,351,23.007,8145.1,351,23.205,6669,346,19.275,6736.7,346,19.47
2019-12-31,Air Force,AWACS Block 40/45 Upgrade,2012,PdE,Boeing,,Aircraft,0,,,2822.4,31,91.045,2782.8,31,89.768,1503.4,31,48.497,1510.1,31,48.713
2019-12-31,Air Force,B-2 DMS-M,2016,DE,Northrop Grumman,,"Electronics, Comms, and Sensors",0,,,2556.2,20,127.81,2394.7,20,119.735,734.3,16,45.894,223.2,16,13.95
2019-12-31,Air Force,B61 Mod 12 LEP TKA,2012,PdE,Boeing,,Ordnance and Missiles,0,,,1321.6,890,1.485,986.2,890,1.108,314,813,0.386,296.1,813,0.364
2019-12-31,Air Force,C-130J,1996,PdE,Lockheed Martin,Rolls Royce,Aircraft,0,,,730.7,11,66.427,11708.2,178,65.776,721.8,11,65.618,11244,178,63.169
2019-12-31,Air Force,CRH,2014,PdE,Sikorsky,,Aircraft,2016,Lockheed-Sikorsky,prime-Sikorsky,8090.9,112,72.24,8534.6,113,75.527,6108.4,103,59.305,6553.5,103,63.626
2019-12-31,Air Force,EELV,2012,PdE,Boeing,Lockheed Martin,Space Systems,0,,,61443.4,152,404.233,55615.7,192,289.665,59078.3,151,391.247,50380.4,191,263.772
2019-12-31,Air Force,EPS,2014,DE,Northrop Grumman,,Space Systems,0,,,1389.1,2,694.55,2488.8,4,622.2,0,0,,0,0,
2019-12-31,Air Force,F-15 EPAWSS,2016,DE,Boeing,BAE Systems,"Electronics, Comms, and Sensors",0,,,4251.5,413,10.294,4421.4,363,12.18,3375,413,8.172,3175.9,361,8.798
2019-12-31,Air Force,F-22 Inc 3.2B Mod,2016,PdE,Lockheed Martin,,Aircraft,0,,,1537.6,152,10.116,1379.8,152,9.078,338.2,143,2.365,251.2,143,1.756
2019-12-31,Air Force,FAB-T - CPT,2015,PdE,Raytheon,,"Electronics, Comms, and Sensors",2021,Raytheon-UTC,prime-Raytheon,,,,,,,,,,,,
2019-12-31,Air Force,FAB-T - FET,2015,PdE,Raytheon,,"Electronics, Comms, and Sensors",0,,,,,,,,,,,,,,
2019-12-31,Air Force,GPS IIIA,2010,PdE,Lockheed Martin,,Space Systems,0,,,3840.8,8,480.1,4915.7,10,491.57,1381,6,230.167,1936.5,8,242.062
2019-12-31,Air Force,GPS IIIF,2018,DE,Lockheed Martin,,Space Systems,0,,,9273.8,22,421.536,9131.3,22,415.059,6113,20,305.65,6048.6,20,302.43
2019-12-31,Air Force,GPS OCX,2012,DE,Raytheon,,Space Systems,2021,Raytheon-UTC,prime-Raytheon,3347.2,1,3347.2,5805,1,5805,0,0,,0,0,
2019-12-31,Air Force,HC/MC-130 Recapitalization,2009,PdE,Lockheed Martin,,Aircraft,0,,,8078.1,74,109.164,12150.7,134,90.677,7436,74,100.486,11787.8,134,87.969
2019-12-31,Air Force,ICBM Fuze Mod,2014,DE,Lockheed Martin,,Ordnance and Missiles,0,,,1814.8,781,2.324,1933.9,781,2.476,663.5,693,0.957,725.5,693,1.047
2019-12-31,Air Force,JASSM - ER,2010,PdE,Lockheed Martin,,Ordnance and Missiles,0,,,3631.6,2531,1.435,8470.7,7231,1.171,3366.1,2500,1.346,7813.4,7200,1.085
2019-12-31,Air Force,KC-46A,2011,PdE,Boeing,Pratt & Whitney,Aircraft,2013,UTC-Goodrich,sub-UTC,43518.2,179,243.118,36144.6,179,201.925,33040.3,175,188.802,27992.9,175,159.959
2019-12-31,Air Force,MGUE Inc 1,2017,DE,L-3 Communications,,"Electronics, Comms, and Sensors",2020,L3-Harris,prime-L3,1505.7,0,,1376.5,0,,0,0,,0,0,
